"SN","V1","V2"
"1","-1040000","960000"
"2","-1020000","920000"
"3","-1000000","880000"
"4","-980000","840000"
"5","-960000","760000"
"6","-920000","720000"
"7","-900000","640000"
"8","-880000","600000"
"9","-840000","520000"
"10","-820000","440000"
"11","-780000","360000"
"12","-740000","280000"
"13","-700000","200000"
"14","-660000","120000"
"15","-620000","40000"
"16","-580000","-40000"
"17","-540000","-120000"
"18","-520000","-200000"
"19","-480000","-280000"
"20","-440000","-360000"
"21","-420000","-440000"
"22","-380000","-520000"
"23","-360000","-600000"
"24","-320000","-640000"
"25","-300000","-720000"
"26","-280000","-800000"
"27","-260000","-840000"
"28","-240000","-880000"
"29","-220000","-960000"
"30","-200000","-1000000"
"31","-200000","-1040000"
"32","-200000","-1040000"
"33","-180000","-1080000"
"34","-180000","-1120000"
"35","-180000","-1120000"
"36","-180000","-1120000"
"37","-160000","-1120000"
"38","-180000","-1120000"
"39","-200000","-1120000"
"40","-240000","-1080000"
"41","-240000","-1080000"
"42","-100000","-1040000"
"43","1040000","-1000000"
"44","1040000","-960000"
"45","1020000","-920000"
"46","1000000","-880000"
"47","960000","-840000"
"48","940000","-800000"
"49","900000","-720000"
"50","880000","-640000"
"51","860000","-600000"
"52","820000","-480000"
"53","780000","-440000"
"54","740000","-360000"
"55","720000","-280000"
"56","680000","-160000"
"57","640000","-80000"
"58","600000","0"
"59","560000","40000"
"60","520000","120000"
"61","500000","240000"
"62","460000","280000"
"63","440000","400000"
"64","400000","480000"
"65","380000","520000"
"66","360000","640000"
"67","320000","680000"
"68","300000","760000"
"69","280000","800000"
"70","260000","840000"
"71","240000","920000"
"72","220000","920000"
"73","220000","960000"
"74","200000","1040000"
"75","200000","1040000"
"76","200000","1080000"
"77","200000","1080000"
"78","180000","1080000"
"79","200000","1080000"
"80","200000","1080000"
"81","220000","1080000"
"82","240000","1080000"
"83","260000","1040000"
"84","260000","1000000"
"85","-1020000","1000000"
"86","-1020000","920000"
"87","-1000000","920000"
"88","-980000","840000"
"89","-940000","800000"
"90","-920000","720000"
"91","-880000","680000"
"92","-860000","640000"
"93","-840000","560000"
"94","-800000","480000"
"95","-760000","400000"
"96","-720000","320000"
"97","-680000","240000"
"98","-640000","160000"
"99","-600000","80000"
"100","-580000","-40000"
"101","-540000","-80000"
"102","-500000","-160000"
"103","-480000","-240000"
"104","-440000","-360000"
"105","-400000","-400000"
"106","-360000","-480000"
"107","-360000","-600000"
"108","-320000","-640000"
"109","-300000","-720000"
"110","-280000","-800000"
"111","-240000","-840000"
"112","-220000","-880000"
"113","-220000","-920000"
"114","-200000","-1000000"
"115","-180000","-1000000"
"116","-180000","-1040000"
"117","-160000","-1080000"
"118","-160000","-1080000"
"119","-160000","-1120000"
"120","-160000","-1120000"
"121","-160000","-1120000"
"122","-160000","-1120000"
"123","-160000","-1120000"
"124","-200000","-1120000"
"125","-220000","-1080000"
"126","-220000","-1040000"
"127","1040000","-1040000"
"128","1040000","-1000000"
"129","1040000","-960000"
"130","1020000","-920000"
"131","1000000","-840000"
"132","960000","-800000"
"133","940000","-720000"
"134","920000","-680000"
"135","880000","-600000"
"136","860000","-520000"
"137","820000","-440000"
"138","780000","-360000"
"139","740000","-280000"
"140","700000","-200000"
"141","680000","-120000"
"142","640000","-40000"
"143","600000","40000"
"144","560000","120000"
"145","520000","200000"
"146","500000","280000"
"147","460000","360000"
"148","420000","440000"
"149","400000","520000"
"150","380000","600000"
"151","360000","680000"
"152","320000","720000"
"153","300000","800000"
"154","280000","840000"
"155","280000","880000"
"156","260000","960000"
"157","240000","1000000"
"158","220000","1000000"
"159","220000","1040000"
"160","220000","1080000"
"161","220000","1080000"
"162","220000","1080000"
"163","220000","1080000"
"164","220000","1120000"
"165","220000","1120000"
"166","240000","1080000"
"167","280000","1080000"
"168","300000","1080000"
"169","-860000","1000000"
"170","-1000000","960000"
"171","-980000","920000"
"172","-960000","880000"
"173","-940000","840000"
"174","-900000","760000"
"175","-880000","720000"
"176","-840000","640000"
"177","-820000","600000"
"178","-780000","520000"
"179","-760000","480000"
"180","-720000","360000"
"181","-680000","280000"
